Year, Month,"Tornadoes","Fatalities"
1986,05,362,11
1986,06,496,11
1986,07,585,14
1986,08,652,15
1986,09,717,15
1986,10,743,15
1986,11,760,15
1986,12,765,15
1987,01,6,0
1987,02,25,6
1987,03,63,7
1987,04,83,8
1987,05,209,39
1987,06,341,41
1987,07,504,41
1987,08,567,42
1987,09,586,42
1987,10,587,42
1987,11,643,53
1987,12,658,59
1988,01,17,5
1988,02,21,5
1988,03,47,6
1988,04,105,10
1988,05,237,13
1988,06,300,13
1988,07,403,13
1988,08,464,16
1988,09,540,17
1988,10,559,17
1988,11,680,31
1988,12,700,32
1989,01,15,0
1989,02,32,0
1989,03,76,1
1989,04,158,1
1989,05,390,10
1989,06,642,15
1989,07,701,15
1989,08,737,15
1989,09,768,15
1989,10,798,19
1989,11,856,50
1989,12,859,50
1990,01,11,0
1990,02,68,1
1990,03,156,4
1990,04,264,4
1990,05,507,9
1990,06,841,20
1990,07,947,20
1990,08,1007,49
1990,09,1052,49
1990,10,1087,51
1990,11,1105,51
1990,12,1140,53
1991,01,29,1
1991,02,40,1
1991,03,198,14
1991,04,402,35
1991,05,737,35
1991,06,953,36
1991,07,1017,37
1991,08,1063,37
1991,09,1089,37
1991,10,1110,37
1991,11,1130,39
1991,12,1133,39
1992,01,15,0
1992,02,44,0
1992,03,99,5
1992,04,152,5
1992,05,289,5
1992,06,689,6
1992,07,902,6
1992,08,1017,9
1992,09,1099,9
1992,10,1133,13
1992,11,1282,39
1992,12,1302,39
1993,01,17,0
1993,02,51,81
1993,03,99,86
1993,04,184,96
1993,05,362,97
1993,06,675,97
1993,07,917,97
1993,08,1029,103
1993,09,1094,105
1993,10,1149,109
1993,11,1168,109
1993,12,1174,109
1994,01,13,0
1994,02,22,0
1994,03,80,22
1994,04,286,35
1994,05,447,35
1994,06,683,38
1994,07,838,41
1994,08,958,41
1994,09,988,41
1994,10,1039,41
1994,11,1081,48
1994,12,1085,48
1995,01,36,2
1995,02,43,8
1995,03,92,8
1995,04,222,9
1995,05,614,26
1995,06,830,30
1995,07,993,30
1995,08,1046,30
1995,09,1065,30
1995,10,1139,31
1995,11,1218,33
1995,12,1236,34
1996,01,35,1
1996,02,49,2
1996,03,120,8
1996,04,297,20
1996,05,532,21
1996,06,660,21
1996,07,861,22
1996,08,933,22
1996,09,1034,22
1996,10,1102,22
1996,11,1157,25
1996,12,1172,26
1997,01,50,2
1997,02,73,3
1997,03,175,32
1997,04,289,33
1997,05,514,62
1997,06,707,62
1997,07,895,66
1997,08,979,67
1997,09,1011,68
1997,10,1112,68
1997,11,1137,68
1997,12,1149,68
1998,01,47,0
1998,02,119,42
1998,03,191,58
1998,04,373,113
1998,05,684,123
1998,06,1063,126
1998,07,1145,126
1998,08,1206,126
1998,09,1310,128
1998,10,1396,130
1998,11,1422,130
1998,12,1428,130
1999,01,214,18
1999,02,236,18
1999,03,292,19
1999,04,471,34
1999,05,782,87
1999,06,1071,91
1999,07,1170,91
1999,08,1249,92
1999,09,1303,92
1999,10,1320,92
1999,11,1327,92
1999,12,1342,94
2000,01,16,0
2000,02,71,19
2000,03,174,21
2000,04,310,23
2000,05,551,26
2000,06,687,26
2000,07,835,27
2000,08,886,27
2000,09,933,29
2000,10,997,29
2000,11,1047,29
2000,12,1073,41
2001,01,5,0
2001,02,33,8
2001,03,65,8
2001,04,200,13
2001,05,440,14
2001,06,688,18
2001,07,808,18
2001,08,877,18
2001,09,961,20
2001,10,1079,22
2001,11,1190,37
2001,12,1212,37
2002,01,3,0
2002,02,5,0
2002,03,51,0
2002,04,167,7
2002,05,371,11
2002,06,468,11
2002,07,536,11
2002,08,622,11
2002,09,683,11
2002,10,740,14
2002,11,836,51
2002,12,934,55
2003,01,0,0
2003,02,18,2
2003,03,61,10
2003,04,219,10
2003,05,769,51
2003,06,1061,53
2003,07,1228,53
2003,08,1272,53
2003,09,1304,53
2003,10,1330,54
2003,11,1384,54
2003,12,1385,54
2004,01,2,0
2004,02,9,0
2004,03,59,0
2004,04,184,8
2004,05,694,15
2004,06,960,17
2004,07,1084,17
2004,08,1263,20
2004,09,1559,28
2004,10,1637,31
2004,11,1787,35
2004,12,1813,35
2005,01,32,4
2005,02,42,4
2005,03,104,5
2005,04,236,5
2005,05,359,5
2005,06,675,5
2005,07,812,5
2005,08,935,9
2005,09,1068,10
2005,10,1086,10
2005,11,1237,38
2005,12,1262,38
2006,01,47,1
2006,02,59,1
2006,03,207,12
2006,04,453,50
2006,05,592,53
2006,06,711,53
2006,07,782,53
2006,08,862,54
2006,09,946,55
2006,10,1022,55
2006,11,1064,65
2006,12,1106,67
2007,01,21,2
2007,02,73,24
2007,03,246,51
2007,04,413,60
2007,05,666,74
2007,06,794,74
2007,07,863,74
2007,08,936,75
2007,09,988,75
2007,10,1074,80
2007,11,1081,80
2007,12,1100,81
2008,01,84,7
2008,02,231,66
2008,03,360,70
2008,04,549,70
2008,05,1011,114
2008,06,1303,121
2008,07,1398,122
2008,08,1499,122
2008,09,1610,124
2008,10,1631,124
2008,11,1646,126
2008,12,1692,126
2009,01,6,0
2009,02,42,9
2009,03,157,9
2009,04,383,15
2009,05,584,20
2009,06,854,20
2009,07,972,20
2009,08,1032,20
2009,09,1040,20
2009,10,1105,21
2009,11,1108,21
2009,12,1146,21
2010,01,30,0
2010,02,31,0
2010,03,64,1
2010,04,203,12
2010,05,507,19
2010,06,831,31
2010,07,977,33
2010,08,1032,34
2010,09,1089,36
2010,10,1197,36
2010,11,1250,36
2010,12,1282,45
2011,01,16,0
2011,02,79,1
2011,03,154,2
2011,04,912,365
2011,05,1238,543
2011,06,1398,546
2011,07,1501,546
2011,08,1558,548
2011,09,1609,548
2011,10,1632,548
2011,11,1676,553
2011,12,1691,553
2012,01,79,2
2012,02,136,17
2012,03,290,60
2012,04,496,66
2012,05,617,66
2012,06,728,70
2012,07,765,70
2012,08,803,70
2012,09,841,70
2012,10,878,70
2012,11,885,70
2012,12,938,70
2013,01,75,1
2013,02,114,2
2013,03,132,2
2013,04,218,3
2013,05,485,44
2013,06,609,45
2013,07,681,45
2013,08,726,45
2013,09,747,45
2013,10,808,45
2013,11,888,53
2013,12,906,55
2014,01,4,0
2014,02,46,0
2014,03,66,0
2014,04,195,35
2014,05,325,35
2014,06,611,37
2014,07,696,41
2014,08,729,41
2014,09,770,41
2014,10,843,42
2014,11,866,42
2014,12,886,47
2015,01,28,0
2015,02,31,0
2015,03,42,1
2015,04,213,3
2015,05,594,10
2015,06,778,10
2015,07,893,10
2015,08,938,10
2015,09,955,10
2015,10,995,10
2015,11,1094,10
2015,12,1177,36
2016,01,17,2
2016,02,120,9
2016,03,205,9
2016,04,347,10
2016,05,564,12
2016,06,650,12
2016,07,758,12
2016,08,848,12
2016,09,887,12
2016,10,907,12
2016,11,957,18
2016,12,976,18
2017,01,137,20
2017,02,206,25
2017,03,398,25
2017,04,612,33
2017,05,903,35
2017,06,1049,35
2017,07,1130,35
2017,08,1249,35
2017,09,1300,35
2017,10,1375,35
2017,11,1417,35
2017,12,1429,35
2018,01,15,0
2018,02,63,2
2018,03,118,2
2018,04,248,3
2018,05,418,4
2018,06,573,4
2018,07,665,5
2018,08,746,5
2018,09,854,6
2018,10,977,6
2018,11,1060,9
2018,12,1126,10
2019,01,22,0
2019,02,49,1
2019,03,156,24
2019,04,428,31
2019,05,938,38
2019,06,1115,38
2019,07,1216,38
2019,08,1294,38
2019,09,1379,38
2019,10,1444,38
2019,11,1460,39
2019,12,1517,42
2020,01,87,3
2020,02,129,4
2020,03,212,29
2020,04,476,67
2020,05,602,68
2020,06,693,68
2020,07,792,69
2020,08,974,72
2020,09,1012,72
2020,10,1031,72
2020,11,1055,72
2020,12,1082,72
2021,01,16,1
2021,02,27,4
2021,03,165,11
2021,04,243,12
2021,05,502,12
2021,06,607,12
2021,07,733,12
2021,08,886,12
2021,09,914,13
2021,10,1061,14
2021,11,1082,14
2021,12,1314,103
2022,01,37,0
2022,02,48,1
2022,03,284,13
2022,04,502,14
2022,05,740,16
2022,06,862,16
2022,07,926,16
2022,08,959,16
2022,09,984,16
2022,10,1030,16
2022,11,1147,20
2022,12,1240,23
2023,01,168,8
2023,02,222,9
